1028.18201	-4.48783	-4.62900	-6.06487	-6.23912	    -0.49877	    -0.15878
1028.68201	-4.48885	-4.63066	-6.06647	-6.24134	    -0.49939	    -0.15952
1029.18201	-4.48919	-4.63181	-6.06627	-6.24215	    -0.50040	    -0.15920
1029.68201	-4.48940	-4.63280	-6.06749	-6.24332	    -0.50227	    -0.15907
1030.18201	-4.49005	-4.63273	-6.06701	-6.24353	    -0.50375	    -0.15838
1030.68201	-4.49118	-4.63237	-6.06779	-6.24403	    -0.50493	    -0.15823
1031.18201	-4.49229	-4.63334	-6.06779	-6.24554	    -0.50531	    -0.15853
1031.68201	-4.49333	-4.63339	-6.06875	-6.24632	    -0.50579	    -0.15915
1032.18201	-4.49459	-4.63386	-6.06955	-6.24640	    -0.50655	    -0.15937
1032.68201	-4.49538	-4.63468	-6.07198	-6.24728	    -0.50772	    -0.15947
1033.18201	-4.49534	-4.63575	-6.07229	-6.24805	    -0.50903	    -0.15940
1033.68201	-4.49491	-4.63634	-6.07416	-6.24923	    -0.51019	    -0.15896
1034.18201	-4.49449	-4.63807	-6.07675	-6.24962	    -0.51111	    -0.15883
1034.68201	-4.49414	-4.63819	-6.07746	-6.24949	    -0.51276	    -0.15939
1035.18201	-4.49510	-4.63767	-6.07665	-6.24911	    -0.51432	    -0.16003
1035.68201	-4.49551	-4.63799	-6.07665	-6.24938	    -0.51579	    -0.16086
1036.18201	-4.49643	-4.63885	-6.07557	-6.25051	    -0.51698	    -0.16092
1036.68201	-4.49650	-4.63978	-6.07561	-6.25347	    -0.51829	    -0.16011
1037.18201	-4.49656	-4.64045	-6.07758	-6.25509	    -0.52046	    -0.15995
1037.68201	-4.49735	-4.64052	-6.08079	-6.25635	    -0.52209	    -0.15986
1038.18201	-4.49762	-4.64063	-6.08207	-6.25519	    -0.52445	    -0.16036
1038.68201	-4.49758	-4.64064	-6.08413	-6.25534	    -0.52687	    -0.16072
1039.18201	-4.49765	-4.64042	-6.08382	-6.25604	    -0.52886	    -0.16093
1039.68201	-4.49810	-4.64071	-6.08271	-6.25784	    -0.53059	    -0.16083
1040.18201	-4.49825	-4.64112	-6.08245	-6.25732	    -0.53221	    -0.16094
1040.68201	-4.49898	-4.64202	-6.08236	-6.25328	    -0.53411	    -0.16100
1041.18201	-4.49967	-4.64310	-6.08498	-6.25243	    -0.53620	    -0.16186
1041.68201	-4.49974	-4.64360	-6.08741	-6.25502	    -0.53824	    -0.16222
1042.18201	-4.50011	-4.64329	-6.08855	-6.25892	    -0.54025	    -0.16230
1042.68201	-4.50122	-4.64351	-6.08784	-6.26390	    -0.54280	    -0.16231
